"Day","Start Time","End Time","Program","Facilitators","Topic","Outline","Audience","OSF link","Slack channel name","Slack channel link","Technical assistance","Jul","Ste","Mag","Ani","Ine","Sof","Mar","Aph","Olu","Los","Abd"
2025-10-15,"2025-10-15 12:00:00","2025-10-15 12:30:00","Welcome to SORTEE! / Lunch break","SORTEE","Join us for a multilingual social break! Learn more about what is SORTEE, how SORTEE is organised and what is look like to be a SORTEE volunteer — all presented in your native language.","We will offer breakout rooms in different languages, each hosted by a friendly SORTEE member. It is a great opportunity to connect, relax, and chat in your preferred language. We will begin with a very short introduction to SORTEE for newcomers. Rooms will be available in:<br>
- Brazilian/Portuguese<br>
- Croatian<br>
- English<br>
- French<br>
- Spanish<br>","Everyone","","#conference2025","https://sortee.slack.com/archives/C09H0S271V4","Anita Tarandek, Ineta Kačergytė",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 12:30:00","2025-10-15 13:00:00","Hackathon 2: EcoEvo SORTEE ReproHack: Reproducibility Hackathon of Recent Research in Ecology & Evolution","Valentin Lucet, Alex Arkilanian","The session's main theme is to to learn about reproducible methods by attempting to reproduce a recently published EcoEvo journal article. The goals will be to identify instructions for reproducing the analysis and figures, attempt to follow them, and reflect on the exercise. Participants will be placed in groups of mixed experience levels and will be assisted by the two instructors.","The session will run in 3 parts:</br>
1) A short introductory lecture with tips and tricks on how to attempt to reproduce a paper ;</br>
2) Attendees will break off in small groups, each attempting to reproduce a different paper and filling up a qualitative openness score sheet ;</br>
3) We will reconvene and read together the score sheets. Participants will be encouraged to continue with the reproducibility exercise after the hackathon.","This hackathon is open to anyone acquainted with the basics of running code on their computer (for example, opening and running a script in RStudio). We encourage anyone interested in the reproducibility of the code they encounter or submit in journals to join us. We will aim to balance groups between experienced and inexperiences coders.","","#conf2025-h02-eco-evo-sortee-repro-hack","https://sortee.slack.com/archives/C09H65X27KN","Ineta Kačergytė, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 13:00:00","2025-10-15 13:30:00","Hackathon 2 (continued)","Valentin Lucet, Alex Arkilanian","The session's main theme is to to learn about reproducible methods by attempting to reproduce a recently published EcoEvo journal article. The goals will be to identify instructions for reproducing the analysis and figures, attempt to follow them, and reflect on the exercise. Participants will be placed in groups of mixed experience levels and will be assisted by the two instructors.","The session will run in 3 parts:</br>
1) A short introductory lecture with tips and tricks on how to attempt to reproduce a paper ;</br>
2) Attendees will break off in small groups, each attempting to reproduce a different paper and filling up a qualitative openness score sheet ;</br>
3) We will reconvene and read together the score sheets. Participants will be encouraged to continue with the reproducibility exercise after the hackathon.","This hackathon is open to anyone acquainted with the basics of running code on their computer (for example, opening and running a script in RStudio). We encourage anyone interested in the reproducibility of the code they encounter or submit in journals to join us. We will aim to balance groups between experienced and inexperiences coders.","","#conf2025-h02-eco-evo-sortee-repro-hack","https://sortee.slack.com/archives/C09H65X27KN","Ineta Kačergytė, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 13:30:00","2025-10-15 14:00:00","Hackathon 2 (continued)","Valentin Lucet, Alex Arkilanian","The session's main theme is to to learn about reproducible methods by attempting to reproduce a recently published EcoEvo journal article. The goals will be to identify instructions for reproducing the analysis and figures, attempt to follow them, and reflect on the exercise. Participants will be placed in groups of mixed experience levels and will be assisted by the two instructors.","The session will run in 3 parts:</br>
1) A short introductory lecture with tips and tricks on how to attempt to reproduce a paper ;</br>
2) Attendees will break off in small groups, each attempting to reproduce a different paper and filling up a qualitative openness score sheet ;</br>
3) We will reconvene and read together the score sheets. Participants will be encouraged to continue with the reproducibility exercise after the hackathon.","This hackathon is open to anyone acquainted with the basics of running code on their computer (for example, opening and running a script in RStudio). We encourage anyone interested in the reproducibility of the code they encounter or submit in journals to join us. We will aim to balance groups between experienced and inexperiences coders.","","#conf2025-h02-eco-evo-sortee-repro-hack","https://sortee.slack.com/archives/C09H65X27KN","Ineta Kačergytė, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 14:00:00","2025-10-15 14:20:00","Hackathon 2 (continued)","Valentin Lucet, Alex Arkilanian","The session's main theme is to to learn about reproducible methods by attempting to reproduce a recently published EcoEvo journal article. The goals will be to identify instructions for reproducing the analysis and figures, attempt to follow them, and reflect on the exercise. Participants will be placed in groups of mixed experience levels and will be assisted by the two instructors.","The session will run in 3 parts:</br>
1) A short introductory lecture with tips and tricks on how to attempt to reproduce a paper ;</br>
2) Attendees will break off in small groups, each attempting to reproduce a different paper and filling up a qualitative openness score sheet ;</br>
3) We will reconvene and read together the score sheets. Participants will be encouraged to continue with the reproducibility exercise after the hackathon.","This hackathon is open to anyone acquainted with the basics of running code on their computer (for example, opening and running a script in RStudio). We encourage anyone interested in the reproducibility of the code they encounter or submit in journals to join us. We will aim to balance groups between experienced and inexperiences coders.","","#conf2025-h02-eco-evo-sortee-repro-hack","https://sortee.slack.com/archives/C09H65X27KN","Ineta Kačergytė, Magdalena Wutkowska",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 14:30:00","2025-10-15 15:00:00","Workshop 1: Using and extending data standards in wildlife disease ecology","Collin Schwantes","The session’s goal is to familiarize participants with the Wildlife Disease Data Standard through hands-on activities. Participants will be able to determine when the standard is applicable, set up data collection instruments, convert existing data to be standard-compliant, and use the standard and accompanying R package to validate data. Ultimately, participants will gain a deeper understanding of how to create FAIR datasets.","The workshop will last 60 mins and be broken into 3 sections. </br>
First, introduce challenges to data re-use in disease ecology and basic concepts around using data standards (5 mins);</br>
second, introduce the wildlife disease data standard (10 min);</br>
third, use the Wildlife Disease Data Standard and associated R package in hands-on activities relevant to different components of the research data life cycle (45 mins).","Basic proficiency with excel or other spreadsheet software. Ability to install packages, load data, and run scripts in R. Ability to download or clone a repository from Github.","https://osf.io/kvb36/","#conf2025-w01-using-and-extending-data-standards-in-wildlife-disease-ecology","https://sortee.slack.com/archives/C09GWMP3275","Juliette Tariel-Adam, Stephanie Flaman",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 15:00:00","2025-10-15 15:25:00","Workshop 1 (continued)","Collin Schwantes","The session’s goal is to familiarize participants with the Wildlife Disease Data Standard through hands-on activities. Participants will be able to determine when the standard is applicable, set up data collection instruments, convert existing data to be standard-compliant, and use the standard and accompanying R package to validate data. Ultimately, participants will gain a deeper understanding of how to create FAIR datasets.","The workshop will last 60 mins and be broken into 3 sections. </br>
First, introduce challenges to data re-use in disease ecology and basic concepts around using data standards (5 mins);</br>
second, introduce the wildlife disease data standard (10 min);</br>
third, use the Wildlife Disease Data Standard and associated R package in hands-on activities relevant to different components of the research data life cycle (45 mins).","Basic proficiency with excel or other spreadsheet software. Ability to install packages, load data, and run scripts in R. Ability to download or clone a repository from Github.","https://osf.io/kvb36/","#conf2025-w01-using-and-extending-data-standards-in-wildlife-disease-ecology","https://sortee.slack.com/archives/C09GWMP3275","Juliette Tariel-Adam, Stephanie Flaman",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 15:30:00","2025-10-15 16:00:00","Plenary Talk by Israel Borokini: Advancing ecology and evolutionary research in the Global South - African context","Israel Borokini","Despite representing almost 20% of global population, Africa contributes less than 2% of global R&D. The presentation will discuss research challenges on the continent, relative to other Global South regions, and share perspectives to address them.","40 min presentation, 20 min questions","Everyone","https://osf.io/j64kz/","#conf2025-plenary1-israel-borokini","https://sortee.slack.com/archives/C09HEJUBCF3","Stephanie Flaman, Magdalena Wutkowska",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 16:00:00","2025-10-15 16:30:00","Plenary Talk 1 (continued)","Israel Borokini","Despite representing almost 20% of global population, Africa contributes less than 2% of global R&D. The presentation will discuss research challenges on the continent, relative to other Global South regions, and share perspectives to address them.","40 min presentation, 20 min questions","Everyone","https://osf.io/j64kz/","#conf2025-plenary1-israel-borokini","https://sortee.slack.com/archives/C09HEJUBCF3","Stephanie Flaman, Magdalena Wutkowska",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 16:30:00","2025-10-15 17:00:00","Unconference 3: Researchers experiences with Registered Reports in Ecology and Evolutionary Biology","Joel Pick, Marija Purgar, Kevin Bairos-Novak, Shinichi Nakagawa,  Losia Lagisz","Registered reports are a key tool in addressing the replication crisis by increasing transparency, addressing questionable research practices, and reducing research waste and publication bias. However, their uptake in Ecology and Evolutionary Biology is extremely low for several reasons, including lack of awareness and misconceptions. We aim to address these issues in an open discussion with researchers experienced with Registered Reports in Ecology and Evolutionary Biology.","We will host an open discussion with a panel of researchers in Ecology and Evolutionary Biology that have used registered reports. We aim to inform researchers about registered reports, and discuss some actionable goals to try and increase registered reports with Ecology and Evolutionary Biology. We will guide the discussion to key topics such as ‘how was the experience of submitting a registered report‘, ‘what problems did you encounter’, ‘how can we improve the experience of submitting registered reports’.","Everyone","","#conf2025-u03-researchers-experiences-with-registered-reports","https://sortee.slack.com/archives/C09GY7B52DT","Magdalena Wutkowska, Marija Purgar",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 17:00:00","2025-10-15 17:25:00","Unconference 3 (continued)","Joel Pick, Marija Purgar, Kevin Bairos-Novak, Shinichi Nakagawa,  Losia Lagisz","Registered reports are a key tool in addressing the replication crisis by increasing transparency, addressing questionable research practices, and reducing research waste and publication bias. However, their uptake in Ecology and Evolutionary Biology is extremely low for several reasons, including lack of awareness and misconceptions. We aim to address these issues in an open discussion with researchers experienced with Registered Reports in Ecology and Evolutionary Biology.","We will host an open discussion with a panel of researchers in Ecology and Evolutionary Biology that have used registered reports. We aim to inform researchers about registered reports, and discuss some actionable goals to try and increase registered reports with Ecology and Evolutionary Biology. We will guide the discussion to key topics such as ‘how was the experience of submitting a registered report‘, ‘what problems did you encounter’, ‘how can we improve the experience of submitting registered reports’.","Everyone","","#conf2025-u03-researchers-experiences-with-registered-reports","https://sortee.slack.com/archives/C09GY7B52DT","Magdalena Wutkowska, Marija Purgar",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 17:30:00","2025-10-15 18:00:00","Hackathon 3: Database of open science policies for major national funding agencies","Dominique Roche","National funding agencies have a lot of leverage to change research practices, not only in E&E, but in all fields of research, and many have adopted policies that encourage or require open science practices. Previous efforts by SORTEE members to document and centralize the data and code policies of E&E journals have produced publicly available databases and associated papers for use by (meta)researchers but centralized information on funder policies is lacking. This hackathon will adopt a similar approach, focusing on funders rather than journals, to address a critical information gap, which will enable researchers from around the globe to better understand their responsibilities when accepting funding; funding agencies to compare and align their policies to those of other funders; and metaresearchers to monitor changes in open science policies over time and across jurisdictions.","Participants will be introduced to the purpose and aim of the hackathon at the start of the session (short presentation by the facilitator);</br>
the methods will be explained, including data collection via a Google form, task assignment for each participant, data validation procedures, and post-hackathon communication;</br>
participants will then be introduced to the data collection methods via a live demonstration. Data collection will begin during the hackathon and continue afterwards (estimated 2-3h of post-hackathon work per participant). The database resulting from the hackathon will be shared publicly, with the aim of producing a paper providing a snapshot of open science policy status for national funding agencies from groups such as the G7, G20, OECD.","Everyone. All participants are welcome to join the hackathon. No specific expertise is required.","https://osf.io/raxsn/","#conf2025-h03-database-of-open-science-polices-for-major-funding-agencies","https://sortee.slack.com/archives/C09H6609CJY","Ineta Kačergytė, Juliette Tariel-Adam",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 18:00:00","2025-10-15 18:30:00","Hackathon 3 (continued)","Dominique Roche","National funding agencies have a lot of leverage to change research practices, not only in E&E, but in all fields of research, and many have adopted policies that encourage or require open science practices. Previous efforts by SORTEE members to document and centralize the data and code policies of E&E journals have produced publicly available databases and associated papers for use by (meta)researchers but centralized information on funder policies is lacking. This hackathon will adopt a similar approach, focusing on funders rather than journals, to address a critical information gap, which will enable researchers from around the globe to better understand their responsibilities when accepting funding; funding agencies to compare and align their policies to those of other funders; and metaresearchers to monitor changes in open science policies over time and across jurisdictions.","Participants will be introduced to the purpose and aim of the hackathon at the start of the session (short presentation by the facilitator);</br>
the methods will be explained, including data collection via a Google form, task assignment for each participant, data validation procedures, and post-hackathon communication;</br>
participants will then be introduced to the data collection methods via a live demonstration. Data collection will begin during the hackathon and continue afterwards (estimated 2-3h of post-hackathon work per participant). The database resulting from the hackathon will be shared publicly, with the aim of producing a paper providing a snapshot of open science policy status for national funding agencies from groups such as the G7, G20, OECD.","Everyone. All participants are welcome to join the hackathon. No specific expertise is required.","https://osf.io/raxsn/","#conf2025-h03-database-of-open-science-polices-for-major-funding-agencies","https://sortee.slack.com/archives/C09H6609CJY","Ineta Kačergytė, Juliette Tariel-Adam",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 18:30:00","2025-10-15 19:00:00","Hackathon 3 (continued)","Dominique Roche","National funding agencies have a lot of leverage to change research practices, not only in E&E, but in all fields of research, and many have adopted policies that encourage or require open science practices. Previous efforts by SORTEE members to document and centralize the data and code policies of E&E journals have produced publicly available databases and associated papers for use by (meta)researchers but centralized information on funder policies is lacking. This hackathon will adopt a similar approach, focusing on funders rather than journals, to address a critical information gap, which will enable researchers from around the globe to better understand their responsibilities when accepting funding; funding agencies to compare and align their policies to those of other funders; and metaresearchers to monitor changes in open science policies over time and across jurisdictions.","Participants will be introduced to the purpose and aim of the hackathon at the start of the session (short presentation by the facilitator);</br>
the methods will be explained, including data collection via a Google form, task assignment for each participant, data validation procedures, and post-hackathon communication;</br>
participants will then be introduced to the data collection methods via a live demonstration. Data collection will begin during the hackathon and continue afterwards (estimated 2-3h of post-hackathon work per participant). The database resulting from the hackathon will be shared publicly, with the aim of producing a paper providing a snapshot of open science policy status for national funding agencies from groups such as the G7, G20, OECD.","Everyone. All participants are welcome to join the hackathon. No specific expertise is required.","https://osf.io/raxsn/","#conf2025-h03-database-of-open-science-polices-for-major-funding-agencies","https://sortee.slack.com/archives/C09H6609CJY","Ineta Kačergytė, Juliette Tariel-Adam",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 19:00:00","2025-10-15 19:30:00","Lunch break / Social mixer","SORTEE Member Engagement Committee","Join us for a relaxed and fun chat","The break involves a surprise activity! We invite you for 15 minutes of socialising with other attendees, followed by 15 minutes for a personal coffee or lunch break.","Everyone","","#conference2025","https://sortee.slack.com/archives/C09H0S271V4","Ineta Kačergytė, Stephanie Flaman",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 19:30:00","2025-10-15 20:00:00","Workshop 2: SORTEE Research Collaborations – What, Why, and How?","Malgorzata (Losia) Lagisz","Organising a collaborative asynchronous research project is not a trivial task - this workshop will share lessons learned through experience, including both successes and challenges. I will provide a brief overview of past and ongoing SORTEE collaborative research projects, highlight key outcomes (publications, datasets, and code), and offer practical strategies for organizing and leading successful, open collaborations. Participants are welcome to contact the facilitators for additional advice and materials.","This workshop builds on the SORTEE hackathons of 2022–2024 and subsequent follow-up projects. It will include short presentations, discussions, and interactive activities. The focus will be on developing a framework for equitable, productive, and enjoyable collaborations. This session is relevant to anyone interested in starting or improving their collaborative research projects.","Everyone","","#conf2025-w02-sortee-research-collaborations","https://sortee.slack.com/archives/C09H1BQREJE","Stephanie Flaman, Juliette Tariel-Adam",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
